,Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers,year
17,New York Mets,1511926,18666,28.2,29.5,96,95,0,2,13,"$184,675,167 ",3:09,14,5,35%,Rojas,2021
18,New York Yankees,1959854,24196,29.3,29.3,100,99,0,3,17,"$209,799,047 ",3:16,10,3,30%,Boone,2021
19,Oakland Athletics,701430,8660,30.1,30.1,95,95,0,2,12,"$94,555,834 ",3:08,10,1,10%,Melvin,2021
20,Philadelphia Phillies,1515890,18715,29.1,28.8,99,99,0,2,12,"$185,286,962 ",3:17,15,5,33%,Girardi,2021
21,Pittsburgh Pirates,859498,10611,27.5,27.4,99,101,0,2,9,"$50,255,000 ",3:11,15,8,53%,Shelton,2021
22,San Diego Padres,2191950,27061,28.0,29.6,92,92,0,5,12,"$151,984,286 ",3:18,19,10,52%,Tingler,2021
23,Seattle Mariners,1215985,15012,27.0,28.0,95,95,0,1,7,"$64,605,500 ",3:12,10,4,40%,Servais,2021
24,San Francisco Giants,1679484,20734,30.6,29.7,98,98,0,3,14,"$150,863,778 ",3:12,19,12,63%,Kapler,2021
25,St. Louis Cardinals,2102530,25957,28.5,30.1,94,93,0,3,13,"$155,329,667 ",3:10,11,6,54%,Shildt,2021
26,Tampa Bay Rays,761072,9396,27.7,28.8,94,93,0,3,13,"$52,937,166 ",3:07,17,7,41%,Cash,2021
27,Texas Rangers,2110258,26053,26.8,27.8,100,102,0,3,8,"$67,890,999 ",3:05,20,9,45%,Woodward,2021
28,Toronto Blue Jays,805901,10074,26.8,29.1,104,103,0,4,18,"$121,694,071 ",3:04,25,9,36%,Montoyo,2021
29,Washington Nationals,1465543,18093,28.6,30.1,95,96,0,4,18,"$172,370,147 ",3:13,14,7,50%,Martinez,2021
0,Arizona Diamondbacks,2135510,26364,28.7,28.6,101,101,0,2,10,"$124,016,266 ",3:15,36,21,58%,Lovullo,2019
1,Atlanta Braves,2654920,32777,28.0,27.5,106,104,0,3,21,"$133,186,667 ",3:13,30,16,53%,Snitker,2019
2,Baltimore Orioles,1307807,16146,26.5,27.3,100,102,0,1,6,"$82,696,100 ",3:07,30,11,36%,Hyde,2019
3,Boston Red Sox,2915502,35994,27.3,29.0,106,105,0,3,15,"$218,978,142 ",3:25,33,22,66%,Cora,2019
4,Chicago Cubs,3094865,38208,27.7,31.1,100,100,0,3,19,"$220,305,215 ",3:12,32,16,50%,Maddon,2019
5,Chicago White Sox,1649775,20622,27.6,27.6,98,99,0,3,10,"$80,846,333 ",3:10,28,12,42%,Renteria,2019
6,Cincinnati Reds,1809075,22334,27.9,28.2,106,106,0,2,14,"$109,737,499 ",3:03,34,14,41%,Bell,2019
7,Cleveland Indians,1738642,21465,27.8,28.3,104,102,0,4,13,"$151,257,783 ",3:03,27,15,55%,Francona,2019
8,Colorado Rockies,2993244,36954,28.2,27.3,116,117,0,4,11,"$145,348,500 ",3:14,38,20,52%,Black,2019
9,Detroit Tigers,1501430,18536,27.6,27.8,101,103,0,1,11,"$100,618,500 ",3:02,34,14,41%,Gardenhire,2019
10,Houston Astros,2857367,35276,28.9,29.9,103,100,0,6,18,"$166,042,500 ",3:05,39,20,51%,Hinch,2019
11,Kansas City Royals,1479659,18267,27.6,27.9,102,103,0,1,5,"$98,183,242 ",3:03,28,23,82%,Yost,2019
12,Los Angeles Angels,3023012,37321,28.8,27.0,100,100,0,2,10,"$158,078,584 ",3:15,31,17,54%,Ausmus,2019
13,Los Angeles Dodgers,3974309,49066,27.9,28.9,97,94,0,5,16,"$193,553,333 ",3:12,34,19,55%,Roberts,2019
14,Miami Marlins,811302,10016,28.4,26.5,96,97,0,1,8,"$74,683,643 ",3:05,43,22,51%,Mattingly,2019
15,Milwaukee Brewers,2923333,36091,28.9,28.7,101,101,0,5,15,"$128,842,900 ",3:16,28,16,57%,Counsell,2019
16,Minnesota Twins,2303299,28436,27.8,28.2,99,98,0,3,15,"$113,758,333 ",3:14,39,12,30%,Baldelli,2019
17,New York Mets,2442532,30155,27.9,28.6,93,93,0,3,18,"$154,837,230 ",3:09,36,13,36%,Callaway,2019
18,New York Yankees,3304404,40795,28.3,30.2,98,96,0,5,17,"$228,442,421 ",3:11,22,15,68%,Boone,2019
19,Oakland Athletics,1670734,20626,27.8,30.8,94,93,0,2,11,"$102,935,833 ",3:07,29,12,41%,Melvin,2019
20,Philadelphia Phillies,2727421,33672,27.6,28.4,101,101,0,1,12,"$141,786,962 ",3:15,43,23,53%,Kapler,2019
21,Pittsburgh Pirates,1491439,18413,27.4,27.2,97,98,0,2,13,"$72,915,501 ",3:12,36,15,41%,Hurdle and Prince,2019
22,San Diego Padres,2396399,29585,26.1,26.3,94,95,0,1,8,"$90,260,767 ",3:07,54,25,46%,Green and Barajas,2019
23,Seattle Mariners,1791109,22112,27.8,28.6,94,94,0,1,10,"$126,874,600 ",3:08,38,18,47%,Servais,2019
24,San Francisco Giants,2707760,33429,29.9,28.9,95,95,0,1,15,"$175,450,753 ",3:07,28,15,53%,Bochy,2019
25,St. Louis Cardinals,3480393,42968,28.8,27.8,96,95,0,1,15,"$161,120,267 ",3:10,39,16,41%,Shildt,2019
26,Tampa Bay Rays,1178735,14552,27.2,27.8,96,95,0,3,11,"$57,098,067 ",3:11,48,22,45%,Cash,2019
27,Texas Rangers,2132994,26333,28.8,28.3,111,112,0,3,11,"$104,433,499 ",3:11,46,29,63%,Woodward,2019
28,Toronto Blue Jays,1750144,21607,25.9,28.0,97,98,0,1,10,"$62,180,671 ",3:07,39,17,43%,Montoyo,2019
29,Washington Nationals,2259781,27899,28.7,30.8,102,102,0,2,16,"$203,016,595 ",3:12,31,15,48%,Martinez,2019
0,Arizona Diamondbacks,2242695,27688,29.2,29.6,105,104,0,3,13,"$134,850,600 ",3:10,45,26,57%,Lovullo,2018
1,Atlanta Braves,2555781,31553,27.4,27.7,101,101,0,4,16,"$115,848,667 ",3:04,45,18,40%,Snitker,2018
2,Baltimore Orioles,1564192,19311,28.4,27.1,98,100,0,1,15,"$141,555,833 ",3:01,27,15,55%,Showalter,2018
3,Boston Red Sox,2895575,35748,27.7,28.9,104,103,0,5,20,"$222,205,000 ",3:13,43,22,51%,Cora,2018
4,Chicago Cubs,3181089,38794,27.2,30.2,104,103,0,3,16,"$205,373,881 ",3:09,43,27,62%,Maddon,2018
5,Chicago White Sox,1608817,19862,26.5,27.6,98,99,0,1,9,"$75,092,000 ",3:08,40,20,50%,Renteria,2018
6,Cincinnati Reds,1629356,20116,27.2,27.1,102,103,0,3,10,"$94,587,500 ",3:03,38,14,36%,Price and Riggleman,2018
7,Cleveland Indians,1926701,23786,29.4,29.4,103,101,0,6,16,"$143,375,233 ",3:03,37,16,43%,Francona,2018
8,Colorado Rockies,3015880,37233,28.7,27.9,117,117,0,3,11,"$136,658,500 ",3:04,46,24,52%,Black,2018
9,Detroit Tigers,1856970,22926,27.9,28.6,103,105,0,1,10,"$111,531,000 ",3:00,32,19,59%,Gardenhire,2018
10,Houston Astros,2980549,36797,28.1,30.0,99,97,0,6,16,"$172,781,200 ",3:04,34,14,41%,Hinch,2018
11,Kansas City Royals,1665107,20557,28.6,27.6,100,101,0,1,8,"$95,199,167 ",2:57,41,31,75%,Yost,2018
12,Los Angeles Angels,3020216,37287,29.5,27.5,98,98,0,1,8,"$166,849,666 ",3:09,42,23,54%,Scioscia,2018
