Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers,year
Arizona Diamondbacks,"2,080,145","25,681",26.6,27.1,105,105,0,2,8,"$64,434,000 ",3:10,34,21,61%,Hale,2015
Atlanta Braves,"2,001,392","24,709",28.8,26.6,97,98,0,1,13,"$104,037,500 ",2:55,46,22,47%,González,2015
Baltimore Orioles,"2,281,202","29,246",27.9,28.3,102,102,0,4,13,"$112,989,833 ",2:55,30,17,56%,Showalter,2015
Boston Red Sox,"2,880,694","35,564",28.3,28.6,107,107,1,1,20,"$183,931,900 ",3:06,52,21,40%,Farrell,2015
Chicago Cubs,"2,919,122","36,039",26.9,29.3,98,97,0,2,18,"$115,306,610 ",3:02,48,28,58%,Maddon,2015
Chicago White Sox,"1,755,810","21,677",28.2,27.8,96,97,0,1,11,"$112,889,700 ",3:00,41,21,51%,Ventura,2015
Cincinnati Reds,"2,419,506","29,870",29.5,27.3,100,101,0,2,13,"$111,572,286 ",3:02,33,20,60%,Price,2015
Cleveland Indians,"1,388,905","17,361",28,27.3,107,107,0,1,13,"$59,163,766 ",3:00,28,15,53%,Francona,2015
Colorado Rockies,"2,506,789","30,948",28,28.7,118,118,0,3,8,"$96,438,600 ",3:06,47,25,53%,Weiss,2015
Detroit Tigers,"2,726,048","33,655",28.3,28.7,99,99,0,4,17,"$172,284,750 ",3:09,27,11,40%,Ausmus,2015
Houston Astros,"2,153,585","26,587",26.3,29.4,97,97,0,2,12,"$93,256,200 ",3:03,48,23,47%,Hinch,2015
Kansas City Royals,"2,708,549","33,439",29.1,30,104,104,0,7,16,"$121,590,475 ",3:00,33,21,63%,Yost,2015
Los Angeles Angels of Anaheim,"3,012,765","37,195",28.7,28.3,94,94,0,3,11,"$131,522,500 ",3:00,40,24,60%,Scioscia,2015
Los Angeles Dodgers,"3,764,815","46,479",29.5,28.1,95,94,0,5,16,"$265,140,429 ",3:03,41,17,41%,Mattingly,2015
Miami Marlins,"1,752,235","21,633",27.9,27.3,96,97,0,2,12,"$71,231,500 ",2:51,31,19,61%,Redmond and Jennings,2015
Milwaukee Brewers,"2,542,558","31,390",28.1,28.4,100,101,0,2,13,"$70,869,500 ",3:01,30,16,53%,Roenicke and Counsell,2015
Minnesota Twins,"2,220,054","27,408",28.3,29.1,100,101,0,2,14,"$107,755,000 ",2:57,42,26,61%,Molitor,2015
New York Mets,"2,569,753","31,725",28.6,28.2,97,97,0,1,13,"$98,874,473 ",2:56,35,19,54%,Collins,2015
New York Yankees,"3,193,795","39,430",31.4,27.4,101,101,0,3,16,"$214,051,957 ",3:08,30,22,73%,Girardi,2015
Oakland Athletics,"1,768,175","21,829",27.9,27.8,97,97,0,2,14,"$64,016,001 ",3:01,29,15,51%,Melvin,2015
Philadelphia Phillies,"1,831,080","22,606",28,28.5,97,98,0,1,11,"$103,082,167 ",2:58,38,24,63%,Sandberg and Mackanin,2015
Pittsburgh Pirates,"2,498,596","30,847",28.2,29.6,99,99,0,4,15,"$104,457,499 ",3:06,44,25,56%,Hurdle,2015
San Diego Padres,"2,459,752","30,367",27.6,29.1,95,95,0,1,8,"$125,203,700 ",3:01,43,19,44%,"Black, Roberts and Murphy",2015
Seattle Mariners,"2,193,581","27,081",28.6,28.6,95,95,0,2,13,"$130,681,400 ",3:01,38,27,71%,McClendon,2015
San Francisco Giants,"3,375,882","41,678",28.9,31.5,99,98,0,4,13,"$180,018,166 ",3:02,38,21,55%,Bochy,2015
St. Louis Cardinals,"3,520,889","43,468",28.4,28.2,101,100,0,6,14,"$128,241,500 ",2:59,31,16,51%,Matheny,2015
Tampa Bay Rays,"1,287,054","15,322",28.5,26.7,96,97,0,2,10,"$64,571,233 ",2:59,54,17,31%,Cash,2015
Texas Rangers,"2,491,875","30,764",28.7,28.1,105,105,0,1,13,"$178,860,789 ",3:04,50,17,34%,Banister,2015
Toronto Blue Jays,"2,794,891","34,505",29.6,29.2,103,102,0,3,19,"$117,917,400 ",2:53,45,20,44%,Gibbons,2015
Washington Nationals,"2,619,843","32,344",28.4,28.6,102,101,0,2,16,"$176,496,372 ",2:54,29,12,41%,Williams,2015
