Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers,year
Arizona Diamondbacks,"2,036,216","25,138",26.7,26.4,107,107,0,1,12,"$78,399,500 ",3:14,37,22,59%,Hale,2016
Atlanta Braves,"2,020,914","24,950",28.9,26.4,98,99,0,1,13,"$74,999,750 ",3:08,42,18,42%,González and Snitker,2016
Baltimore Orioles,"2,172,344","26,819",28.5,27.9,102,102,0,5,17,"$153,744,833 ",3:00,39,20,51%,Showalter,2016
Boston Red Sox,"2,955,434","36,487",28.5,29,106,106,1,6,18,"$218,682,750 ",3:12,46,20,43%,Farrell,2016
Chicago Cubs,"3,232,420","39,906",27.4,29.9,101,100,0,7,19,"$176,097,333 ",3:05,42,21,50%,Maddon,2016
Chicago White Sox,"1,746,293","21,559",28.3,28.6,96,96,0,2,16,"$113,416,000 ",3:03,39,20,51%,Ventura,2016
Cincinnati Reds,"1,894,085","23,384",27.8,27.1,101,102,0,2,10,"$77,329,561 ",3:04,51,25,49%,Price,2016
Cleveland Indians,"1,591,667","19,650",29,28.1,109,107,0,3,13,"$94,511,067 ",3:03,49,28,57%,Francona,2016
Colorado Rockies,"2,602,524","32,130",27.8,27.7,116,116,0,2,9,"$89,707,000 ",3:11,54,32,59%,Weiss,2016
Detroit Tigers,"2,493,859","31,173",30,29,100,101,0,1,15,"$199,902,000 ",3:05,34,19,55%,Ausmus,2016
Houston Astros,"2,306,623","28,477",26.4,28.9,94,93,0,2,13,"$89,498,000 ",3:04,37,16,43%,Hinch,2016
Kansas City Royals,"2,557,712","31,577",28.5,29.9,102,102,0,4,14,"$125,132,675 ",2:59,37,25,67%,Yost,2016
Los Angeles Angels,"3,016,142","37,236",28.5,28.4,95,95,0,1,9,"$139,712,000 ",3:04,38,21,55%,Scioscia,2016
Los Angeles Dodgers,"3,703,312","45,720",28.9,28.9,97,96,0,3,18,"$231,342,096 ",3:10,35,19,54%,Roberts,2016
Miami Marlins,"1,712,417","21,405",28.3,28,93,94,0,4,11,"$72,472,000 ",3:05,53,34,64%,Mattingly,2016
Milwaukee Brewers,"2,314,614","28,575",27.5,28.1,102,102,0,1,9,"$52,077,500 ",3:08,47,22,46%,Counsell,2016
Minnesota Twins,"1,963,912","24,246",26.9,28.3,100,100,0,1,17,"$93,333,700 ",3:05,28,17,60%,Molitor,2016
New York Mets,"2,789,602","34,440",29.5,28.4,96,96,0,4,13,"$155,221,282 ",3:05,28,18,64%,Collins,2016
New York Yankees,"3,063,405","37,820",30.1,27.9,103,102,0,3,20,"$193,229,350 ",3:03,28,18,64%,Girardi,2016
Oakland Athletics,"1,521,506","18,784",28.7,27.9,96,97,0,1,12,"$54,969,067 ",2:56,34,22,64%,Melvin,2016
Philadelphia Phillies,"1,915,144","23,644",26.9,26.3,99,100,0,1,6,"$84,846,666 ",3:03,46,26,56%,Mackanin,2016
Pittsburgh Pirates,"2,249,201","27,768",28.9,28.6,99,99,0,2,16,"$81,187,933 ",3:11,55,25,45%,Hurdle,2016
San Diego Padres,"2,351,422","29,030",28.1,28.1,95,95,0,2,11,"$50,656,166 ",3:06,57,27,47%,Green,2016
Seattle Mariners,"2,267,928","27,999",30.5,28.8,96,96,0,1,12,"$137,169,100 ",3:02,37,22,59%,Servais,2016
San Francisco Giants,"3,365,256","41,546",29.1,30,96,96,0,4,15,"$177,021,333 ",3:10,49,31,63%,Bochy,2016
St. Louis Cardinals,"3,444,490","42,525",28.5,28,98,97,0,2,13,"$150,353,500 ",3:01,54,28,51%,Matheny,2016
Tampa Bay Rays,"1,286,163","15,879",27.7,26.9,95,95,0,1,10,"$48,223,791 ",3:01,49,29,59%,Cash,2016
Texas Rangers,"2,710,402","33,462",28.4,28.8,107,108,0,2,14,"$212,117,760 ",3:00,51,23,45%,Banister,2016
Toronto Blue Jays,"3,392,099","41,878",30.1,29.8,102,101,0,5,17,"$182,690,767 ",3:00,49,19,38%,Gibbons,2016
Washington Nationals,"2,481,938","30,641",28.8,29.1,103,102,0,5,15,"$152,967,400 ",3:08,47,19,40%,Baker,2016
